#restaurant id,yelp link,tripadvisor link,foursquare link

g49463-d3471247,http://www.yelp.com/biz/bida-manda-raleigh,http://www.tripadvisor.com/Restaurant_Review-g49463-d3471247-Reviews-Bida_Manda-Raleigh_North_Carolina.html,https://foursquare.com/v/bida-manda-laotian-restaurant-and-bar/4ee404309911944900b07ad5
g49463-d444941,http://www.yelp.com/biz/glenwood-grill-raleigh,http://www.tripadvisor.com/Restaurant_Review-g49463-d444941-Reviews-Glenwood_Grill-Raleigh_North_Carolina.html,https://foursquare.com/v/glenwood-grill/4bace827f964a52012183be3
g49463-d4112217,http://www.yelp.com/biz/the-cowfish-sushi-burger-bar-raleigh,http://www.tripadvisor.com/Restaurant_Review-g49463-d4112217-Reviews-The_Cowfish_Sushi_Burger_Bar-Raleigh_North_Carolina.html,https://foursquare.com/v/the-cowfish-sushi-burger-bar/512fae5be4b01e7458f3057a
g49463-d6407240,http://www.yelp.com/biz/red-pepper-asian-raleigh,http://www.tripadvisor.com/Restaurant_Review-g49463-d6407240-Reviews-Red_Pepper_Asian-Raleigh_North_Carolina.html,https://foursquare.com/v/red-pepper-asian/531cde03498ecda932de475c
g49463-d6610534,http://www.yelp.com/biz/tazza-kitchen-cameron-village-raleigh,http://www.tripadvisor.com/Restaurant_Review-g49463-d6610534-Reviews-Tazza_Kitchen_Cameron_Village-Raleigh_North_Carolina.html,https://foursquare.com/v/tazza-kitchen-cameron-village/528a6b0e11d27a62a2728622
g49463-d8023813,http://www.yelp.com/biz/kamado-grille-raleigh,http://www.tripadvisor.com/Restaurant_Review-g49463-d8023813-Reviews-Kamado_Grille-Raleigh_North_Carolina.html,https://foursquare.com/v/kamado-grille/55416c15498e88d7fe167266
g49463-d828082,http://www.yelp.com/biz/j-betskis-raleigh,http://www.tripadvisor.com/Restaurant_Review-g49463-d828082-Reviews-J_Betski_s-Raleigh_North_Carolina.html,https://foursquare.com/v/j-betskis/4b3b8c41f964a520947525e3
g49463-d2281435,http://www.yelp.com/biz/beasleys-chicken-and-honey-raleigh,http://www.tripadvisor.com/Restaurant_Review-g49463-d2281435-Reviews-Beasley_s_Chicken_Honey-Raleigh_North_Carolina.html,https://foursquare.com/v/beasleys-chicken--honey/4e091acc1f6e21103396e069
g49463-d639062,http://www.yelp.com/biz/18-seaboard-raleigh,http://www.tripadvisor.com/Restaurant_Review-g49463-d639062-Reviews-18_Seaboard-Raleigh_North_Carolina.html,https://foursquare.com/v/18-seaboard/4ade1565f964a520fd7221e3
g49463-d6278519,http://www.yelp.com/biz/kabab-and-curry-raleigh,http://www.tripadvisor.com/Restaurant_Review-g49463-d6278519-Reviews-Kabab_and_Curry-Raleigh_North_Carolina.html,https://foursquare.com/v/kabab-and-curry/52e1bc1d498e61f7931f70ec
